"Occupation";"Total_employment"
"Graduate Teaching Assistants";126030
"Logisticians";125670
"Physical Therapist Assistants and Aides";125640
"Family and General Practitioners";124810
"Miscellaneous Engineers";124570
"Engineers, All Other";124570
"Gaming Services Workers";124440
"Rail Transportation Workers";122870
"Mixing and Blending Machine Setters, Operators, and Tenders";122670
"Eligibility Interviewers, Government Programs";122400
"Nurse Practitioners";122050
"Miscellaneous Vehicle and Mobile Equipment Mechanics, Installers, and Repairers";122030
"Postal Service Mail Sorters, Processors, and Processing Machine Operators";121590
"Communications Equipment Operators";121470
"Vocational Education Teachers, Postsecondary";121200
"Web Developers";121020
"Food Batchmakers";120850
"Mental Health Counselors";120010
"Respiratory Therapists";119410
"Mobile Heavy Equipment Mechanics, Except Engines";119280
"Chefs and Head Cooks";118130
"Psychologists";117820
"Woodworking Machine Setters, Operators, and Tenders";117120
"Aircraft Mechanics and Service Technicians";116830
"Social and Community Service Managers";116670
"Human Resources Managers";116610
"Miscellaneous Legal Support Workers";116410
"Social Sciences Teachers, Postsecondary";116310
"Dentists";115390
"Refuse and Recyclable Material Collectors";115170
"Electrical Power-Line Installers and Repairers";114540
"Telecommunications Line Installers and Repairers";114420
"Aircraft Pilots and Flight Engineers";113920
"Ushers, Lobby Attendants, and Ticket Takers";113700
"Protective Service Workers, All Other";113020
"Database Administrators";112170
"Phlebotomists";111950
"Water and Wastewater Treatment Plant and System Operators";111640
"Computer, Automated Teller, and Office Machine Repairers";110940
"Wholesale and Retail Buyers, Except Farm Products";110560
"Occupational Therapists";110520
"Miscellaneous Education, Training, and Library Workers";109600
"Education, Training, and Library Workers, All Other";109600
"Miscellaneous Health Technologists and Technicians";109580
"Mental Health and Substance Abuse Social Workers";109460
"Derrick, Rotary Drill, and Service Unit Operators, Oil, Gas, and Mining";109320
"Switchboard Operators, Including Answering Service";108890
"Detectives and Criminal Investigators";108720
"Chemical Processing Machine Setters, Operators, and Tenders";108030
"Miscellaneous Plant and System Operators";107130
"Architects, Except Naval";107000
"Medical Scientists";106160
"Transportation, Storage, and Distribution Managers";106000
"Automotive and Watercraft Service Attendants";104750
"Clinical, Counseling, and School Psychologists";104730
"Machine Feeders and Offbearers";104340
"Rehabilitation Counselors";103890
"Roofers";103650
"Biological Scientists";103210
"Miscellaneous Metal Workers and Plastic Workers";102920
"Drywall Installers, Ceiling Tile Installers, and Tapers";101850
"Broadcast and Sound Engineering Technicians and Radio Operators";101660
"First-Line Supervisors of Police and Detectives";101420
"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers";101190
"Library Assistants, Clerical";100800
"Medical Scientists, Except Epidemiologists";100740
"Tire Repairers and Changers";100510
"Mail Clerks and Mail Machine Operators, Except Postal Service";99190
"Healthcare Support Workers, All Other";98980
"Flight Attendants";98510
"Surgical Technologists";98450
"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic";98160
"Dentists, General";97990
"Art, Drama, and Music Teachers, Postsecondary";97500
"Editors";97350
"Producers and Directors";97300
"Miscellaneous Sales and Related Workers";96440
"Police, Fire, and Ambulance Dispatchers";96390
"Health Technologists and Technicians, All Other";96170
"Gaming Dealers";96060
"Residential Advisors";95750
"Special Education Teachers, Middle School";94820
"Library Technicians";94260
"Community and Social Service Specialists, All Other";93710
"Veterinary Technologists and Technicians";93300
"Merchandise Displayers and Window Trimmers";93000
"Chemists and Materials Scientists";92870
"Paper Goods Machine Setters, Operators, and Tenders";92170
"Insurance Underwriters";91720
"Physician Assistants";91670
"Architectural and Civil Drafters";91520
"Maintenance Workers, Machinery";90730
"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders";90590
"Math and Computer Teachers, Postsecondary";89420
"Architects, Except Landscape and Naval";88900
"Sales and Related Workers, All Other";88830
"Environmental Scientists and Specialists, Including Health";88740
"Models, Demonstrators, and Product Promoters";88740
"Construction and Building Inspectors";88410
"Cabinetmakers and Bench Carpenters";88170
"Massage Therapists";87670
"Operations Research Analysts";86950
"Probation Officers and Correctional Treatment Specialists";86810
"Artists and Related Workers";86710
"Slaughterers and Meat Packers";86070
"Chemists";85970
"Substance Abuse and Behavioral Disorder Counselors";85180
"Business Teachers, Postsecondary";85030
"Drywall and Ceiling Tile Installers";85020
"Demonstrators and Product Promoters";83600
"Career/Technical Education Teachers, Secondary School";81560
"Word Processors and Typists";81300
"Compensation, Benefits, and Job Analysis Specialists";80970
"Information Security Analysts";80180
"Labor Relations Specialists";79780
"Occupational Health and Safety Specialists and Technicians";79120
"Manicurists and Pedicurists";79090
"Cutting Workers";78090
"Structural Metal Fabricators and Fitters";78050
"Meeting, Convention, and Event Planners";77940
