"07 Jugovzhodna Slovenija";543;48146;1.1;388;39543;1.0;588;49681;1.2;430;40834;1.0;444;49579;0.9;312;40617;0.8;283;47408;0.6;191;38463;0.5;293;46224;0.6;191;37370;0.5;326;44732;0.7;213;36010;0.6;258;43633;0.6;160;35033;0.5
"08 Osrednjeslovenska";2459;235721;1.0;1727;187772;0.9;2867;245279;1.2;2025;195562;1.0;2753;248109;1.1;1924;196630;1.0;1634;245940;0.7;1081;193569;0.6;1570;242995;0.6;1056;190537;0.6;1945;239112;0.8;1215;187530;0.6;1752;240632;0.7;1043;189292;0.5
"09 Gorenjska";588;65088;0.9;398;52098;0.8;625;66185;0.9;425;52682;0.8;565;65765;0.9;375;51657;0.7;376;62826;0.6;226;48443;0.5;345;61977;0.6;213;47657;0.4;428;60517;0.7;271;46815;0.6;369;58914;0.6;223;45325;0.5
"10 Notranjsko-kraška";151;15581;1.0;107;12323;0.9;163;16061;1.0;115;12667;0.9;135;15978;0.8;85;12480;0.7;85;15977;0.5;59;12399;0.5;78;15495;0.5;50;12026;0.4;78;14517;0.5;46;11081;0.4;76;13852;0.5;46;10478;0.4
"11 Goriška";361;41883;0.9;252;33586;0.7;416;43288;1.0;281;34665;0.8;357;43572;0.8;240;34672;0.7;215;41476;0.5;132;32547;0.4;188;40117;0.5;119;31375;0.4;234;38976;0.6;141;30498;0.5;174;37745;0.5;100;29357;0.3
"12 Obalno-kraška";467;39280;1.2;329;30379;1.1;585;40967;1.4;389;31680;1.2;526;41496;1.3;340;31848;1.1;340;41226;0.8;217;31272;0.7;297;40818;0.7;193;31021;0.6;334;39862;0.8;225;30354;0.7;308;38146;0.8;201;28712;0.7

"Vir: Statistièni urad Republike Slovenije. "
" "
"Raziskava o prostih delovnih mestih temelji na izkljuèno "
"administrativnih virih: "
"- podatke o prostih delovnih mestih  pridobimo od Zavoda RS za "
"zaposlovanje, ki jih zbira na obrazcu PD-1; "
"- podatke o zasedenih delovnih mestih pa pridobimo iz Statistiènega "
"registra delovno aktivnega prebivalstva (SRDAP), ki ga vzdržuje naš "
"urad. "

"Povezave: "
"- (seznam HREF=http://www.stat.si/doc/metod_pojasnila/07-146-MP.pdf "
"target=_blank) Metodološka pojasnila "
"- (seznam "
"HREF=http://www.stat.si/koledar.asp?pod=7&kon=146&DatumOd=1.1.2005&Da-"
"tumDo=Date() target=_blank) Koledar objav "

"Podatki so teritorialno razvršèeni po uredbi o Standardni "
"klasifikaciji teritorialnih enot ((seznam "
"HREF=../database/Meta/Klas/SKTE.htm TARGET=_blank) opis in "
"pojasnila), raven SKTE 3. "
"Opombe o spremembah posameznih regij so zapisane k vsaki spremenjeni "
"regiji in so ob izpisu tabele na zaslon dostopne s klikom na ikono za "
"opombe (zvezdica). V opombah je na zaèetku naveden datum, s katerim "
"je opisana teritorialna sprememba upoštevana pri teritorialnem "
"razvršèanju enot za statistiène namene.  "
" "

"Velikost je doloèena glede na število zasedenih delovnih mest: "
"- SKUPAJ vkljuèeni so vsi deli poslovnih subjektov oz. poslovni "
"subjekti v celoti (v kolikor le-ti nimajo podrejene enote), pri "
"katerih je zaposlena vsaj ena oseba; "
"- 10+ vkljuèeni so vsi deli poslovnih subjektov oz. poslovni subjekti "
"v celoti (v kolikor le-ti nimajo podrejene enote), pri katerih je "
"zaposlenih 10 ali veè oseb. "

