"Prosta delovna mesta, zasedena delovna mesta ter stopnja prostih"
"delovnih mest (originalni podatki) po: MERITVE, SKD DEJAVNOST ,"
"ÈETRTLETJE"

" ";" ";"2011Q1";"2011Q2";"2011Q3";"2011Q4";"2012Q1";"2012Q2";"2012Q3";"2012Q4";"2013Q1";"2013Q2";"2013Q3";"2013Q4";"2014Q1";"2014Q2";"2014Q3";"2014Q4";"2015Q1";"2015Q2"
"Število prostih delovnih mest  - SKUPAJ"
" ";"P IZOBRAŽEVANJE";0.4;0.9;0.8;0.3;0.3;0.4;1.1;0.2;0.2;0.3;1.1;0.3;0.2;0.2;1.1;0.4;0.2 M;0.2 M
" ";"Q ZDRAVSTVO IN SOCIALNO VARSTVO";0.5;0.4;0.6;0.4;0.5;0.5;0.5;0.3;0.4;0.4;0.4;0.4;0.5;0.5;0.5;0.6;0.4 M;0.7 M
" ";"R KULTURNE, RAZVEDRILNE IN REKREACIJSKE DEJAVNOSTI";0.4;0.4;0.4;0.5;0.4;0.3;0.5;0.3;0.4;0.5;0.6;0.6;0.7;1.1;0.7;0.7;N;0.4 M
" ";"S DRUGE DEJAVNOSTI";1.0;1.1;1.1;0.9;0.8;0.8;1.0;0.8;0.8;0.9;1.2;1.0;0.9;1.1;1.4;1.1;3.1 M;2.5 M
"Število prostih delovnih mest  - (10+)"
" ";"SKD Dejavnost - SKUPAJ (B do S)";3392;3704;4461;3483;3575;3063;3940;2343;2771;3244;4326;3378;4318;5056;5531;4169;4688;5168
" ";"B RUDARSTVO";8;9;2;4;2;1;7;2;1;4;4;4;4;16;4;4;1;1
" ";"C PREDELOVALNE DEJAVNOSTI";917;847;1012;774;813;707;975;555;645;775;1104;750;1054;1257;1498;1067;1448;1446
" ";"D OSKRBA Z ELEKTRIÈNO ENERGIJO, PLINOM IN PARO";9;15;10;27;6;14;15;9;12;14;16;17;19;25;22;32;19;13
" ";"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA";12;32;25;21;16;15;21;11;25;26;27;29;34;44;36;34;N;N
" ";"F GRADBENIŠTVO";339;582;672;599;642;582;624;374;482;601;593;325;680;943;713;304;877;772
" ";"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL";429;303;413;324;313;258;309;227;220;277;308;342;379;476;419;381;489;627 M
" ";"H PROMET IN SKLADIŠÈENJE";162;189;248;291;201;195;154;111;157;188;226;271;324;389;416;445;289;367
" ";"I GOSTINSTVO";166;168;171;146;136;148;122;140;89;130;172;213;255;296;285;273;178;201
" ";"J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI";69;33;60;49;90;36;60;45;49;54;91;97;124;131;156;152;166;173
" ";"K FINANÈNE IN ZAVAROVALNIŠKE DEJAVNOSTI";89;81;104;79;69;67;67;65;65;82;94;107;123;169;135;124;131;166
" ";"L POSLOVANJE Z NEPREMIÈNINAMI";24;18;8;9;7;7;18;10;9;11;11;11;11;12;11;21;6;16
" ";"M STROKOVNE, ZNANSTVENE IN TEHNIÈNE DEJAVNOSTI";225;167;374;185;287;157;158;155;176;165;237;190;268;247;314;259;251;283
